Date Local,Month,Day of the week,Weekend,Chat Support
9/1/2020,9,2,0,31.62
9/2/2020,9,3,0,38.17
9/3/2020,9,4,0,31.74
9/4/2020,9,5,0,14.72
9/5/2020,9,6,1,10.54
9/6/2020,9,7,1,21.24
9/7/2020,9,1,0,23.65
9/8/2020,9,2,0,17.63
9/9/2020,9,3,0,17.54
9/10/2020,9,4,0,25.74
9/11/2020,9,5,0,23.05
9/12/2020,9,6,1,15.36
9/13/2020,9,7,1,22.31
9/14/2020,9,1,0,20.76
9/15/2020,9,2,0,23.04
9/16/2020,9,3,0,28.41
9/17/2020,9,4,0,38.29
9/18/2020,9,5,0,31.81
9/19/2020,9,6,1,15.25
9/20/2020,9,7,1,16.06
9/21/2020,9,1,0,27.48
9/22/2020,9,2,0,22.15
9/23/2020,9,3,0,27.15
9/24/2020,9,4,0,34.71
9/25/2020,9,5,0,29.11
9/26/2020,9,6,1,15.48
9/27/2020,9,7,1,19.81
9/28/2020,9,1,0,19.2
9/29/2020,9,2,0,16.32
9/30/2020,9,3,0,23.59
10/1/2020,10,4,0,33.26
10/2/2020,10,5,0,22.28
10/3/2020,10,6,1,20.27
10/4/2020,10,7,1,18.22
10/5/2020,10,1,0,21.66
10/6/2020,10,2,0,21.73
10/7/2020,10,3,0,24.53
10/8/2020,10,4,0,39.58
10/9/2020,10,5,0,17.7
10/10/2020,10,6,1,10.15
10/11/2020,10,7,1,15.1
10/12/2020,10,1,0,22.01
10/13/2020,10,2,0,17.25
10/14/2020,10,3,0,26.81
10/15/2020,10,4,0,20.47
10/16/2020,10,5,0,10.94
10/17/2020,10,6,1,7.42
10/18/2020,10,7,1,4.97
10/19/2020,10,1,0,22.5
10/20/2020,10,2,0,30.77
10/21/2020,10,3,0,30.49
10/22/2020,10,4,0,34.09
10/23/2020,10,5,0,30.16
10/24/2020,10,6,1,15.28
10/25/2020,10,7,1,15.41
10/26/2020,10,1,0,20.83
10/27/2020,10,2,0,30.76
10/28/2020,10,3,0,28.02
10/29/2020,10,4,0,32.76
10/30/2020,10,5,0,9.21
10/31/2020,10,6,1,13.82
11/1/2020,11,7,1,22.92
11/2/2020,11,1,0,27.02
11/3/2020,11,2,0,32.27
11/4/2020,11,3,0,25.59
11/5/2020,11,4,0,19.18
11/6/2020,11,5,0,19.79
11/7/2020,11,6,1,14.96
11/8/2020,11,7,1,7.73
11/9/2020,11,1,0,7.66
11/10/2020,11,2,0,27.77
11/11/2020,11,3,0,43.36
11/12/2020,11,4,0,45.07
11/13/2020,11,5,0,35.67
11/14/2020,11,6,1,15.3
11/15/2020,11,7,1,15.24
11/16/2020,11,1,0,15.36
11/17/2020,11,2,0,30.55
11/18/2020,11,3,0,37.58
11/19/2020,11,4,0,35.98
11/20/2020,11,5,0,25.88
11/21/2020,11,6,1,14.4
11/22/2020,11,7,1,22.74
11/23/2020,11,1,0,19.95
11/24/2020,11,2,0,27.46
11/25/2020,11,3,0,29.51
11/26/2020,11,4,0,23.13
11/27/2020,11,5,0,21.56
11/28/2020,11,6,1,15.38
11/29/2020,11,7,1,22.09
11/30/2020,11,1,0,21.19
12/1/2020,12,2,0,29.27
12/2/2020,12,3,0,29.16
12/3/2020,12,4,0,28.09
12/4/2020,12,5,0,19.51
12/5/2020,12,6,1,17.13
12/6/2020,12,7,1,20.92
12/7/2020,12,1,0,21.05
12/8/2020,12,2,0,21.65
12/9/2020,12,3,0,14.3
12/10/2020,12,4,0,21.22
12/11/2020,12,5,0,27.17
12/12/2020,12,6,1,27.48
12/13/2020,12,7,1,25.08
12/14/2020,12,1,0,20.96
12/15/2020,12,2,0,19.58
12/16/2020,12,3,0,18.24
12/17/2020,12,4,0,25.42
12/18/2020,12,5,0,24.79
12/19/2020,12,6,1,24.58
12/20/2020,12,7,1,24.24
12/21/2020,12,1,0,24.12
12/22/2020,12,2,0,26.33
12/23/2020,12,3,0,25.75
12/24/2020,12,4,0,25.82
12/25/2020,12,5,0,24.68
12/26/2020,12,6,1,19.81
12/27/2020,12,7,1,24.04
12/28/2020,12,1,0,20.87
12/29/2020,12,2,0,23.72
12/30/2020,12,3,0,18
12/31/2020,12,4,0,25.45
